hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,o_proj,23,0,49228
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,23,0,27002
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,23,0,149131
RTX3090,meta-llama/Llama-3.1-8B,act_fn,23,0,3279
RTX3090,meta-llama/Llama-3.1-8B,up_proj,23,0,149164
RTX3090,meta-llama/Llama-3.1-8B,down_proj,23,0,146606
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,23,0,26691
RTX3090,meta-llama/Llama-3.1-8B,lm_head,23,0,1242230
RTX3090,meta-llama/Llama-3.1-8B,embedding,24,0,3842
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,24,0,26129
RTX3090,meta-llama/Llama-3.1-8B,q_proj,24,0,48310
RTX3090,meta-llama/Llama-3.1-8B,k_proj,24,0,16736
RTX3090,meta-llama/Llama-3.1-8B,v_proj,24,0,16248
RTX3090,meta-llama/Llama-3.1-8B,rope,24,0,31247
RTX3090,meta-llama/Llama-3.1-8B,attn,24,0,6768
RTX3090,meta-llama/Llama-3.1-8B,o_proj,24,0,49173
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,24,0,26680
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,24,0,149128
RTX3090,meta-llama/Llama-3.1-8B,act_fn,24,0,3288
RTX3090,meta-llama/Llama-3.1-8B,up_proj,24,0,149611
RTX3090,meta-llama/Llama-3.1-8B,down_proj,24,0,146639
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,24,0,26422
RTX3090,meta-llama/Llama-3.1-8B,lm_head,24,0,1243010
RTX3090,meta-llama/Llama-3.1-8B,embedding,25,0,3840
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,25,0,26164
RTX3090,meta-llama/Llama-3.1-8B,q_proj,25,0,49021
RTX3090,meta-llama/Llama-3.1-8B,k_proj,25,0,16726
RTX3090,meta-llama/Llama-3.1-8B,v_proj,25,0,16154
RTX3090,meta-llama/Llama-3.1-8B,rope,25,0,30838
RTX3090,meta-llama/Llama-3.1-8B,attn,25,0,6805
RTX3090,meta-llama/Llama-3.1-8B,o_proj,25,0,49056
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,25,0,26944
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,25,0,149805
RTX3090,meta-llama/Llama-3.1-8B,act_fn,25,0,3321
